ItemType,Temperature_Celsius,ItemName,Quantity,Price,ExpirationDate
Fridge,1.48,Cheese,9,6.05,12/11/2025
Fridge,3.01,Cheese,28,11.36,2/1/2025
Fridge,2.93,Milk,21,6.29,6/30/2025
Freezer,-16.56,Milk,5,8.36,9/18/2025
Freezer,-17.11,Milk,14,6.11,8/3/2025
Fridge,1.25,Cheese,44,16.21,8/15/2025
Fridge,1.21,Cheese,17,7.96,11/12/2025
Fridge,1.54,Ice Cream,22,19.51,12/15/2025
Fridge,3.9,Yogurt,5,10.97,8/25/2025
Fridge,2.97,Frozen Vegetables,48,12.76,12/29/2025
Fridge,1.76,Milk,40,16.58,7/1/2025
Fridge,3.8,Milk,25,8.46,5/22/2025
Fridge,1.74,Ice Cream,40,5.34,4/9/2025
Freezer,-17.75,Milk,37,16.6,3/9/2025
Freezer,-16.75,Milk,26,2.27,10/15/2025
Freezer,-16.75,Milk,1,18.71,12/29/2025
Freezer,-17.42,Cheese,25,17.94,6/28/2025
Fridge,3.61,Milk,44,14.54,11/25/2025
Freezer,-17.75,Yogurt,23,5.47,5/1/2025
Freezer,-16.55,Milk,27,6.71,7/24/2025
Fridge,1.3,Cheese,9,12.78,12/29/2025
Freezer,-15.31,Cheese,38,10.16,6/3/2025
Fridge,1.73,Cheese,50,9.59,5/7/2025
Fridge,2.1,Cheese,47,14.75,4/26/2025
Fridge,1.05,Yogurt,40,17.17,8/3/2025
Fridge,1.99,Frozen Vegetables,6,12.51,9/22/2025
Freezer,-16.39,Cheese,34,18.11,4/14/2025
Freezer,-17.49,Cheese,11,19.48,9/22/2025
Fridge,3.06,Frozen Vegetables,7,13.4,10/5/2025
Fridge,2.57,Cheese,24,15.69,8/18/2025
Freezer,-16.77,Yogurt,38,14.14,12/10/2025
Freezer,-17.6,Cheese,7,8.22,5/12/2025
Freezer,-16.94,Milk,11,13.14,6/25/2025
Freezer,-17.52,Ice Cream,32,4.4,4/11/2025
Fridge,3.99,Milk,14,7.55,4/12/2025
Fridge,3.75,Cheese,9,11.63,3/31/2025
Fridge,2.43,Cheese,14,3.88,2/14/2025
Fridge,1.05,Milk,7,4.96,7/15/2025
Freezer,-16.07,Cheese,27,19.8,10/17/2025
Fridge,2.52,Yogurt,48,14.7,8/3/2025
Freezer,-16.14,Milk,46,10.69,10/23/2025
Freezer,-15.01,Yogurt,24,10.12,8/15/2025
Freezer,-15.17,Milk,43,12.38,1/3/2026
Freezer,-17.39,Cheese,3,16.12,5/11/2025
Freezer,-15.8,Frozen Vegetables,25,1.7,10/17/2025
Fridge,1.78,Milk,40,8.87,6/30/2025
Fridge,3.15,Cheese,32,7.99,11/4/2025
Fridge,1.79,Ice Cream,45,11.11,5/13/2025
Fridge,3.65,Ice Cream,24,12.03,5/29/2025
Fridge,2.56,Yogurt,14,2.03,1/26/2026
Fridge,1.24,Milk,46,8.11,4/29/2025
Freezer,-15.52,Milk,5,5.96,7/6/2025
Fridge,3.07,Ice Cream,28,10.4,7/21/2025
Fridge,2.59,Ice Cream,15,16.78,5/23/2025
Freezer,-15.66,Ice Cream,6,2.62,4/16/2025
Freezer,-17.44,Milk,27,16.23,1/7/2026
